gender,email,phone,cell,nat,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,id.name,id.value,picture.large,picture.medium,picture.thumbnail
male,leo.robinson@example.com,(795)-853-9730,(271)-054-5224,NZ,Mr,Leo,Robinson,2793,Lyttelton Avenue,Palmerston North,Manawatu-Wanganui,New Zealand,34099,52.5271,-100.3467,-3:00,"Brazil, Buenos Aires, Georgetown",99547954-ee95-4ac7-af8a-df58ce9e85fc,lazymouse849,vvvvvvvv,66JuOWCy,eb84198d6ce2b82b6ef1251973a0e825,5d6020158b8edcecb980de29517161bf695e24f3,3a138bf81f1be33138fb0d01aa376bd505e21d89ffdb6de3cdf0edb8e64d521c,1999-01-03T07:11:05.276Z,26,2008-11-07T02:42:43.329Z,16,,,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg
male,dwight.edwards@example.com,071-211-7769,081-644-8212,IE,Mr,Dwight,Edwards,7410,Grove Road,Carrick-on-Suir,Westmeath,Ireland,40511,-28.1501,-166.4012,-11:00,"Midway Island, Samoa",3c108783-4784-4430-b42e-524b675dff25,bluegoose443,zxcvbn,jqRzCt29,5c9be8e5a32ac968be76dedd5768ec3a,a81286fb32bc2b6bfe8376fb85279559f975cb82,fdd03645c55c343647eb5201856461154b44acc4540c7ce6264dbba96f92545b,2000-05-16T10:24:43.866Z,25,2004-07-12T07:17:26.410Z,21,PPS,0745689T,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg
female,davina.dias@example.com,(35) 7012-3671,(71) 3333-8957,BR,Ms,Davina,Dias,184,Rua da Paz ,Alvorada,Mato Grosso,Brazil,42535,-21.2667,173.4445,+8:00,"Beijing, Perth, Singapore, Hong Kong",12f422bb-afa7-46d4-930b-78aef1e36bd0,blackswan782,brains,86vGCbul,f002ee9de159206afbdc7f8e066dc68f,25c4c3618ec4b7c337394953682496f486642692,c64f481f373fc3dc8e954fe828e7fce6ec39b9e170f319607ca5eecb58c8f034,1994-06-13T14:48:47.204Z,31,2005-11-04T04:03:25.024Z,19,CPF,171.276.331-62,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg
female,eden.deschamps@example.com,02-97-77-33-62,06-21-28-54-11,FR,Miss,Eden,Deschamps,8161,Rue Bony,Reims,Bas-Rhin,France,99556,-54.4664,-175.7498,-4:00,"Atlantic Time (Canada), Caracas, La Paz",65fe5870-5222-4dce-ac58-c11449c1b156,lazysnake426,7777777,taaXoc07,1181655fc2a67c14353ec49b88c53ea3,036590a51a4bdf7a99acb6d4543e3c7b6f06f57a,6319053803e6f215541566af8e53760af3d1b731f4c8a57ad664a019775673ab,1955-11-23T20:59:09.270Z,69,2016-03-18T22:54:35.603Z,9,INSEE,2551017876189 22,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg
female,naomi.johnson@example.com,(185)-583-6878,(769)-403-2374,NZ,Ms,Naomi,Johnson,3219,The Strand,Auckland,Marlborough,New Zealand,33047,-21.0659,-45.9433,+2:00,"Kaliningrad, South Africa",df9c2c23-b946-4294-a943-14d6b1f500c3,happygorilla489,mirror,RDoEveKo,a5f1846c1560090015785fec31f2152f,c7efae2a6acf99cc6dfced2bf8a656c37b65be6c,fa5d6428987ae1b49dac879c9d1c1591f3c4b7e29fabdaaf1143a380978957fd,1945-12-09T04:51:03.708Z,79,2013-06-01T05:57:33.522Z,12,,,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg
female,zoe.chen@example.com,(309)-268-4563,(443)-107-1214,NZ,Ms,Zoe,Chen,5897,Totara Avenue,Hamilton,Bay of Plenty,New Zealand,65167,-81.5092,175.7080,-7:00,Mountain Time (US & Canada),f08d53bd-3fcc-4c55-9333-4d87123cdca2,tinygoose777,arsenal1,VYGGECgF,c2e108e760b98be26fe6da401d3f1c53,7785fd647e91f9be6676bcd2a92a2e2269f1ed54,8f55e3bdd65188923aafcd7e6274764cdd715f6974479c08c6f1ebb469dfb3bd,1962-09-27T14:29:57.754Z,62,2014-12-16T06:19:28.342Z,10,,,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg
male,milton.stevens@example.com,015394 18577,07602 785849,GB,Mr,Milton,Stevens,9473,Grange Road,Lisburn,Norfolk,United Kingdom,A24 1JQ,67.6679,149.7684,-12:00,"Eniwetok, Kwajalein",c9b5b85e-064b-4737-9193-96660861c88d,angrylion216,mackie,je9mYdQ2,a71128f114728cf138104d1cf49c2d01,cab57a5f4218badbde47fae3b4b03504291a1421,891637a7c9549007071f30434711c19710dd057ed79081d506b457115b38a127,1978-12-17T19:46:57.350Z,46,2008-08-01T07:54:37.784Z,17,NINO,HB 35 09 16 K,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg
female,vildan.duygulu@example.com,(845)-804-0552,(260)-984-8539,TR,Mrs,Vildan,Duygulu,2295,Necatibey Cd,İzmir,Antalya,Turkey,59116,-23.5649,44.4687,+5:30,"Bombay, Calcutta, Madras, New Delhi",dbccaf60-535c-47ca-b0f3-9e419cc88771,bluezebra999,clippers,XpDp571A,fb47ae7409760d267a00fb5883410b03,82f7b4f1cfd0511f4effd53287a22fbae6a13c41,13fe33101e03995810288663d194ddd09eaaf4a82386a4d875f5424eb7d27cae,1967-06-20T06:57:49.263Z,58,2009-05-07T22:53:39.426Z,16,,,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg
female,emily.poulsen@example.com,89740541,24212170,DK,Ms,Emily,Poulsen,1996,Grønlandsparken,Oure,Syddanmark,Denmark,37335,1.4245,-145.0915,-1:00,"Azores, Cape Verde Islands",e5c5a050-f39d-468a-9774-21c242771bd0,purplemeercat716,badboy,vqSpv03P,b2427852e62a537a20d8ab820f476657,20acca5c1a75bfa2e0a826e7fbbc089b373c2fb7,1e732a78249c7657a3c60c419b96042e2b7eef3074a2d176d1c938c49d724faa,1986-06-15T10:03:15.311Z,39,2020-11-03T20:42:15.095Z,4,CPR,150686-1628,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg
male,atharv.mardhekar@example.com,7418485855,7927519421,IN,Mr,Atharv,Mardhekar,7275,NAD X Rd,Kirari Suleman Nagar,Punjab,India,34586,80.5183,-103.0886,+11:00,"Magadan, Solomon Islands, New Caledonia",7ad21f3c-0bd8-4082-9514-b4d6d8e3269c,silverpeacock825,19781978,qgcfmrUW,287ceac2724d7f37720bc377ee47195e,82d01607c93c96cce79802b57fc3db8b07b8bfc6,9996f9314ea09c29979dd71ed43cbc819836b6073c4dd590e02d1e0b0cfbe8f6,1994-11-20T03:30:47.269Z,30,2015-09-14T04:22:24.903Z,9,UIDAI,195074343847,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg
